filename,Q1,Q3,RT
PC 32:1,732.6,184.1,4.383333333
PC 32:0,734.6,184.1,4.666666667
PC 33:2,744.6,184.1,4.283333333
PC 33:1,746.6,184.1,4.566666667
PC 33:0,748.6,184.1,4.8
PC 34:5,752.5,184.1,4.533333333
PC 33:1 d7 (ISTD),753.2,184.1,4.533333333
PC 34:4,754.5,184.1,4.566666667
PC 34:3,756.6,184.1,4.216666667
PC 34:2,758.6,184.1,4.483333333
PC 34:1,760.6,184.1,4.75
PC 34:0,762.6,184.1,5.033333333
PC 35:3,770.6,184.1,4.383333333
PC 35:2,772.6,184.1,4.65
PC 35:1,774.6,184.1,4.9
PC 36:6,778.5,184.1,3.983333333
PC 36:5,780.6,184.1,4.2
PC 36:4,782.6,184.1,4.433333333
PC 36:3,784.6,184.1,4.566666667
PC 36:2,786.6,184.1,4.85
PC 36:1,788.6,184.1,5.083333333
PC 38:7,804.6,184.1,4.05
PC 38:6,806.6,184.1,4.35
PC 38:5,808.6,184.1,#VALUE!
PC 38:4,810.6,184.1,#VALUE!
PC 38:3,812.6,184.1,#VALUE!
PC 38:2,814.6,184.1,5.133333333
PC 40:8,830.6,184.1,4.15
PC 40:7,832.6,184.1,4.4
PC 40:6,834.6,184.1,4.733333333
PC 40:5,836.6,184.1,#VALUE!
PC 40:4,838.6,184.1,5.1
PC O-32:2,716.6,184.1,4.333333333
PC O-32:1,718.5,184.1,4.633333333
PC O-32:0,720.6,184.1,4.916666667
PC O-34:4,740.6,184.1,4.366666667
PC O-34:2,744.6,184.1,4.716666667
PC O-34:1,746.6,184.1,4.966666667
PC O-36:4,768.6,184.1,4.683333333
PC O-36:3,770.6,184.1,4.766666667
PC O-36:2,772.6,184.1,5.066666667
PC O-36:1,774.6,184.1,5.233333333
PC O-38:5,794.6,184.1,4.716666667
PC O-38:4,796.6,184.1,5.05
PC O-40:7,818.6,184.1,4.65
PC O-40:6,820.6,184.1,4.95
PC O-40:5,822.6,184.1,5.033333333
PC P-32:1,716.6,184.1,4.6
PC P-32:0,718.5,184.1,4.883333333
PC P-34:2,742.5,184.1,4.666666667
PC P-34:1,744.6,184.1,4.933333333
PC P-36:5,764.6,184.1,4.4
PC P-36:4,766.6,184.1,4.633333333
PC P-36:2,770.6,184.1,5.016666667
PC P-38:6,790.6,184.1,4.533333333
PC P-38:5,792.6,184.1,4.633333333
PC P-38:4,794.6,184.1,4.966666667
PC P-40:6,818.6,184.1,4.9
PE 28:0 [141],636.5,495.5,4.05
PE 32:1 [141],690.5,549.5,4.533333333
PE 32:0 [141],692.5,551.5,4.8
