LIPID,LIPID_NAME_CLEAN,QUANTIFIER,Q1,Q3,RT
LPC O-24:1,LPC O-24:1,TRUE,592.5,104.1,3.666666667
LPC O-24:2,LPC O-24:2,TRUE,590.5,104.1,3.35
LPE 16:0,LPE 16:0,TRUE,454.3,313.3,2.258333333
LPE 18:0,LPE 18:0,TRUE,482.3,341.3,2.7
LPE 18:1,LPE 18:1,TRUE,480.3,339.3,2.383333333
LPE 18:1 d7 (ISTD),LPE 18:1[D7],TRUE,487.1,346.2,2.383333333
LPE 18:2,LPE 18:2,TRUE,478.3,337.3,2.083333333
LPE 20:4,LPE 20:4,TRUE,502.3,361.3,2.05
LPE 22:6,LPE 22:6,TRUE,526.3,385.3,2
LPI 18:0,LPI 18:0,TRUE,618.3,341.3,2.4
LPI 18:1,LPI 18:1,TRUE,616.3,339.3,1.991666667
LPI 18:2,LPI 18:2,TRUE,614.3,337.3,1.675
LPI 20:4,LPI 20:4,TRUE,638.3,361.3,1.658333333
PC 28:0,PC 28:0,TRUE,678.5,184.1,3.916666667
PC 29:0,PC 29:0,TRUE,692.5,184.1,4.566666667
PC 30:0,PC 30:0,TRUE,706.5,184.1,4.316666667
PC 31:1,PC 31:1,TRUE,718.5,184.1,4.516666667
PC 32:0,PC 32:0,TRUE,734.6,184.1,4.666666667
PC 32:1,PC 32:1,TRUE,732.6,184.1,4.383333333
PC 32:2,PC 32:2,TRUE,730.5,184.1,4.083333333
PC 32:3,PC 32:3,TRUE,728.5,184.1,3.85
PC 33:0,PC 33:0,TRUE,748.6,184.1,4.8
PC 33:1,PC 33:1,TRUE,746.6,184.1,4.566666667
PC 33:1 d7 (ISTD),PC 33:1[D7],TRUE,753.2,184.1,4.533333333
PC 33:2,PC 33:2,TRUE,744.6,184.1,4.283333333
PC 34:0,PC 34:0,TRUE,762.6,184.1,5.033333333
PC 34:1,PC 34:1,TRUE,760.6,184.1,4.75
PC 34:2,PC 34:2,TRUE,758.6,184.1,4.483333333
PC 34:3,PC 34:3,TRUE,756.6,184.1,4.216666667
PC 34:4,PC 34:4,TRUE,754.5,184.1,4.566666667
PC 34:5,PC 34:5,TRUE,752.5,184.1,4.533333333
PC 35:1,PC 35:1,TRUE,774.6,184.1,4.9
PC 35:2,PC 35:2,TRUE,772.6,184.1,4.65
PC 35:3,PC 35:3,TRUE,770.6,184.1,4.383333333
PC 36:1,PC 36:1,TRUE,788.6,184.1,5.083333333
PC 36:2,PC 36:2,TRUE,786.6,184.1,4.85
PC 36:3,PC 36:3,TRUE,784.6,184.1,4.566666667
PC 36:4,PC 36:4,TRUE,782.6,184.1,4.433333333
PC 36:5,PC 36:5,TRUE,780.6,184.1,4.2
PC 36:6,PC 36:6,TRUE,778.5,184.1,3.983333333
PC 38:2,PC 38:2,TRUE,814.6,184.1,5.133333333
PC 38:3,PC 38:3,TRUE,812.6,184.1,5.025
PC 38:4,PC 38:4,TRUE,810.6,184.1,4.741666667
PC 38:5,PC 38:5,TRUE,808.6,184.1,4.533333333
PC 38:6,PC 38:6,TRUE,806.6,184.1,4.35
PC 38:7,PC 38:7,TRUE,804.6,184.1,4.05
PC 40:4,PC 40:4,TRUE,838.6,184.1,5.1
PC 40:5,PC 40:5,TRUE,836.6,184.1,4.891666667
PC 40:6,PC 40:6,TRUE,834.6,184.1,4.733333333
PC 40:7,PC 40:7,TRUE,832.6,184.1,4.4
PC 40:8,PC 40:8,TRUE,830.6,184.1,4.15
PC O-32:0,PC O-32:0,TRUE,720.6,184.1,4.916666667
PC O-32:1,PC O-32:1,TRUE,718.5,184.1,4.633333333
PC O-32:2,PC O-32:2,TRUE,716.6,184.1,4.333333333
PC O-34:1,PC O-34:1,TRUE,746.6,184.1,4.966666667
PC O-34:2,PC O-34:2,TRUE,744.6,184.1,4.716666667
PC O-34:4,PC O-34:4,TRUE,740.6,184.1,4.366666667
PC O-36:1,PC O-36:1,TRUE,774.6,184.1,5.233333333
PC O-36:2,PC O-36:2,TRUE,772.6,184.1,5.066666667
PC O-36:3,PC O-36:3,TRUE,770.6,184.1,4.766666667
PC O-36:4,PC O-36:4,TRUE,768.6,184.1,4.683333333
PC O-38:4,PC O-38:4,TRUE,796.6,184.1,5.05
PC O-38:5,PC O-38:5,TRUE,794.6,184.1,4.716666667
PC O-40:5,PC O-40:5,TRUE,822.6,184.1,5.033333333
PC O-40:6,PC O-40:6,TRUE,820.6,184.1,4.95
PC O-40:7,PC O-40:7,TRUE,818.6,184.1,4.65
PC P-32:0,PC P-32:0,TRUE,718.5,184.1,4.883333333
PC P-32:1,PC P-32:1,TRUE,716.6,184.1,4.6
PC P-34:1,PC P-34:1,TRUE,744.6,184.1,4.933333333
PC P-34:2,PC P-34:2,TRUE,742.5,184.1,4.666666667
PC P-36:2,PC P-36:2,TRUE,770.6,184.1,5.016666667
PC P-36:4,PC P-36:4,TRUE,766.6,184.1,4.633333333
PC P-36:5,PC P-36:5,TRUE,764.6,184.1,4.4
PC P-38:4,PC P-38:4,TRUE,794.6,184.1,4.966666667
PC P-38:5,PC P-38:5,TRUE,792.6,184.1,4.633333333
PC P-38:6,PC P-38:6,TRUE,790.6,184.1,4.533333333
PC P-40:6,PC P-40:6,TRUE,818.6,184.1,4.9
PE 28:0,PE 28:0,TRUE,636.5,495.5,4.05
PE 32:0,PE 32:0,TRUE,692.5,551.5,4.8
PE 32:1,PE 32:1,TRUE,690.5,549.5,4.533333333
PE 33:1 d7 (ISTD),PE 33:1[D7],TRUE,712.2,571.1,4.683333333
PE 34:1,PE 34:1,TRUE,718.5,577.5,4.866666667
PE 34:2,PE 34:2,TRUE,716.5,575.5,4.6
