Analysis Sequence	Sample ID	Subject ID	Sampling Time Point
371	LT_batch6_46	C119	tp1
335	LT_batch6_10	C119	tp2
354	LT_batch6_29	C119	tp3
344	LT_batch6_19	C123	tp1
343	LT_batch6_18	C123	tp2
338	LT_batch6_13	C123	tp3
364	LT_batch6_39	C125	tp1
372	LT_batch6_47	C125	tp2
358	LT_batch6_33	C125	tp3
355	LT_batch6_30	C127	tp1
333	LT_batch6_8	C127	tp2
365	LT_batch6_40	C127	tp3
331	LT_batch6_6	C128	tp1
369	LT_batch6_44	C128	tp2
347	LT_batch6_22	C128	tp3
295	LT_batch5_35	C130	tp1
323	LT_batch5_63	C130	tp2
277	LT_batch5_17	C130	tp3
348	LT_batch6_23	C131	tp1
367	LT_batch6_42	C131	tp3
353	LT_batch6_28	C135	tp1
345	LT_batch6_20	C135	tp2
363	LT_batch6_38	C135	tp3
370	LT_batch6_45	C139	tp1
368	LT_batch6_43	C139	tp2
337	LT_batch6_12	C139	tp3
310	LT_batch5_50	C140	tp1
275	LT_batch5_15	C140	tp2
298	LT_batch5_38	C140	tp3
